<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Var Count Result>
Symbol,Address,MemoryBank,Read Access Counter core2,Write Access Counter core2,Total
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xAC0,0xD0004AC0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xB00,0xD0004B00,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xB40,0xD0004B40,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xB80,0xD0004B80,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xBC0,0xD0004BC0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xC00,0xD0004C00,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xC40,0xD0004C40,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xC80,0xD0004C80,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xCC0,0xD0004CC0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xD00,0xD0004D00,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xD40,0xD0004D40,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xD80,0xD0004D80,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xDC0,0xD0004DC0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xE00,0xD0004E00,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xE40,0xD0004E40,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xE80,0xD0004E80,Reserved,0,324,324
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xEC0,0xD0004EC0,Reserved,0,723,723
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xF00,0xD0004F00,Reserved,0,193,193
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xF40,0xD0004F40,Reserved,0,59,59
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xF80,0xD0004F80,Reserved,0,20,20
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xFC0,0xD0004FC0,Reserved,0,2,2
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xFD8,0xD0004FD8,Reserved,1,2,3
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xFC8,0xD0004FC8,Reserved,1,2,3
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xFF8,0xD0004FF8,Reserved,1,2,3
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xFE8,0xD0004FE8,Reserved,0,2,2
\\MANDO_FailSafe_Integration\Global\_lc_ub_table_tc1+0x4,0x800025A4,Program_Flash_(PFI0),1,0,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_table_tc1+0x8,0x800025A8,Program_Flash_(PFI0),1,0,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_table_tc1+0x0C,0x800025AC,Program_Flash_(PFI0),1,0,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_table_tc1,0x800025A0,Program_Flash_(PFI0),1,0,1
\\MANDO_FailSafe_Integration\prost_cstart\_tcx_end_c_init,0x70000000,Data_ScratchPad_RAM_(CPU0),1779,1,1780
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xF98,0xD0004F98,Reserved,19,20,39
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xF88,0xD0004F88,Reserved,19,20,39
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xFB8,0xD0004FB8,Reserved,19,20,39
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xFA8,0xD0004FA8,Reserved,0,20,20
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2,0x50000000,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x4,0x50000004,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x8,0x50000008,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x0C,0x5000000C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x10,0x50000010,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x14,0x50000014,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x18,0x50000018,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x1C,0x5000001C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x20,0x50000020,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x24,0x50000024,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x28,0x50000028,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x2C,0x5000002C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x30,0x50000030,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x34,0x50000034,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x38,0x50000038,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x3C,0x5000003C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x40,0x50000040,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x44,0x50000044,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x48,0x50000048,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x4C,0x5000004C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x50,0x50000050,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x54,0x50000054,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x58,0x50000058,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x5C,0x5000005C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x60,0x50000060,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x64,0x50000064,Data_ScratchPad_RAM_(CPU2),0,1,1
